idh_ch,region_c,factor_ch,inc_total_ch,inc_proxy_ch,inc_proxy_ch_pc,inc_total_norm_ch_pc,shock,inc_after_shock,poor_before,poor_after,poor_new,afectados,P1_elegible,P2_elegible,P3_elegible,P4_elegible,P5_elegible,P6_elegible,P1_benef,P2_benef,P3_benef,P4_benef,P5_benef,P6_benef,P_benef,P_no_benef
7495,mun9,53, $100.0 , $159.9 , $159.9 , $294.4 , $74.9 , $219.5 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7496,mun9,52, $-   , $127.9 , $42.6 , $78.5 , $72.7 , $5.8 ,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1
7497,mun9,53, $492.9 , $617.0 , $205.7 , $378.7 , $99.6 , $279.1 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7498,mun9,52, $781.7 , $893.6 , $178.7 , $329.0 , $85.0 , $244.0 ,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
7499,mun9,52, $250.0 , $346.8 , $115.6 , $212.8 , $107.3 , $105.5 ,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7500,mun9,52, $200.0 , $313.6 , $313.6 , $577.3 , $72.8 , $504.4 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7501,mun9,53," $1,322.7 "," $1,436.2 ", $718.1 ," $1,322.1 ", $134.8 ," $1,187.3 ",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
7502,mun9,52, $758.0 , $855.7 , $171.1 , $315.1 , $79.3 , $235.8 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7503,mun9,52, $823.3 , $956.0 , $191.2 , $352.0 , $101.7 , $250.3 ,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
7504,mun9,53, $610.0 , $642.2 , $128.4 , $236.5 , $104.6 , $131.9 ,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7505,mun9,53, $899.2 , $954.5 , $238.6 , $439.3 , $76.1 , $363.2 ,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
7506,mun9,53, $641.7 , $759.6 , $189.9 , $349.6 , $98.1 , $251.5 ,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
7507,mun9,53," $1,020.0 "," $1,124.3 ", $187.4 , $345.0 , $54.6 , $290.4 ,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
7508,mun9,67, $500.0 , $575.9 , $287.9 , $530.1 , $78.3 , $451.8 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7509,mun9,67, $580.8 , $673.7 , $336.9 , $620.2 , $95.7 , $524.5 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7510,mun9,67," $1,421.7 "," $1,463.2 ", $731.6 ," $1,346.9 ", $116.9 ," $1,230.0 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7511,mun9,66, $165.0 , $230.4 , $230.4 , $424.2 , $84.3 , $339.9 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
